# Reentrancy Attack — Opcode Sequence
# Transaction: 0x3f15533b9f329a0ef0ea77db91f03261562d23747f7b7b2cbd956399bb61f959
# Format: pc;OPCODE;args
# Total opcodes: 1237
#
0;PUSH1;
2;PUSH1;0000000000000000000000000000000000000000000000000000000000000080
4;MSTORE;0000000000000000000000000000000000000000000000000000000000000040
5;PUSH1;
7;CALLDATASIZE;0000000000000000000000000000000000000000000000000000000000000004
8;LT;0000000000000000000000000000000000000000000000000000000000000004
9;PUSH2;0000000000000000000000000000000000000000000000000000000000000000
12;JUMPI;000000000000000000000000000000000000000000000000000000000000004e
13;PUSH1;
15;CALLDATALOAD;0000000000000000000000000000000000000000000000000000000000000000
16;PUSH1;9e5faafc00000000000000000000000000000000000000000000000000000000
18;SHR;00000000000000000000000000000000000000000000000000000000000000e0
19;DUP1;000000000000000000000000000000000000000000000000000000009e5faafc
20;PUSH4;000000000000000000000000000000000000000000000000000000009e5faafc
25;EQ;0000000000000000000000000000000000000000000000000000000012065fe0
26;PUSH2;0000000000000000000000000000000000000000000000000000000000000000
29;JUMPI;0000000000000000000000000000000000000000000000000000000000000149
30;DUP1;000000000000000000000000000000000000000000000000000000009e5faafc
31;PUSH4;000000000000000000000000000000000000000000000000000000009e5faafc
36;EQ;00000000000000000000000000000000000000000000000000000000407c2821
37;PUSH2;0000000000000000000000000000000000000000000000000000000000000000
40;JUMPI;0000000000000000000000000000000000000000000000000000000000000174
41;DUP1;000000000000000000000000000000000000000000000000000000009e5faafc
42;PUSH4;000000000000000000000000000000000000000000000000000000009e5faafc
47;EQ;000000000000000000000000000000000000000000000000000000009e5faafc
48;PUSH2;0000000000000000000000000000000000000000000000000000000000000001
51;JUMPI;000000000000000000000000000000000000000000000000000000000000019f
415;JUMPDEST;000000000000000000000000000000000000000000000000000000009e5faafc
416;PUSH2;000000000000000000000000000000000000000000000000000000009e5faafc
419;PUSH2;00000000000000000000000000000000000000000000000000000000000001a7
422;JUMP;000000000000000000000000000000000000000000000000000000000000020d
525;JUMPDEST;00000000000000000000000000000000000000000000000000000000000001a7
526;PUSH8;00000000000000000000000000000000000000000000000000000000000001a7
535;CALLVALUE;0000000000000000000000000000000000000000000000000de0b6b3a7640000
536;LT;0000000000000000000000000000000000000000000000000de0b6b3a7640000
537;ISZERO;0000000000000000000000000000000000000000000000000000000000000000
538;PUSH2;0000000000000000000000000000000000000000000000000000000000000001
541;JUMPI;0000000000000000000000000000000000000000000000000000000000000258
600;JUMPDEST;00000000000000000000000000000000000000000000000000000000000001a7
601;PUSH1;00000000000000000000000000000000000000000000000000000000000001a7
603;DUP1;0000000000000000000000000000000000000000000000000000000000000000
